                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.7079,                0.93079,                  1.188,                0.62412,                0.79766,                0.76548,                0.37753,                 1.6992,                 1.1044,                 1.2093,               0.003004,               0.003004,               0.003004
                    108,                 1.7002,                0.91288,                 1.1853,                0.63194,                0.80146,                0.76613,                 0.3707,                 1.7557,                0.98318,                 1.2307,               0.002938,               0.002938,               0.002938
                    109,                 1.7067,                0.91653,                 1.1783,                0.66303,                0.78087,                0.77424,                0.37644,                 1.7745,                0.97567,                 1.2406,               0.002872,               0.002872,               0.002872
                    110,                 1.6772,                0.89383,                 1.1632,                0.72191,                0.78599,                0.80853,                0.39494,                 1.7632,                0.95564,                 1.2424,               0.002806,               0.002806,               0.002806
                    111,                 1.6941,                0.89251,                 1.1631,                0.66081,                 0.7927,                0.78423,                0.38082,                 1.7247,                 1.0645,                 1.2242,                0.00274,                0.00274,                0.00274
                    112,                   1.72,                  0.915,                 1.1957,                0.68976,                0.75967,                0.76931,                0.37168,                 1.7288,                 1.0212,                 1.2221,               0.002674,               0.002674,               0.002674
                    113,                 1.6934,                0.90122,                 1.1755,                0.70281,                0.78889,                0.81336,                0.39615,                 1.7631,                0.94308,                 1.2336,               0.002608,               0.002608,               0.002608
                    114,                 1.6843,                0.91124,                 1.1726,                0.72724,                0.80626,                0.83278,                0.41217,                 1.7395,                0.91577,                 1.2212,               0.002542,               0.002542,               0.002542
                    115,                 1.6904,                0.89577,                 1.1581,                 0.6924,                0.79546,                0.80711,                0.40977,                 1.7037,                0.93993,                 1.2069,               0.002476,               0.002476,               0.002476
                    116,                 1.6981,                0.89795,                 1.1924,                0.67257,                0.82766,                0.81157,                0.40301,                 1.7288,                0.95013,                 1.2203,                0.00241,                0.00241,                0.00241
                    117,                  1.679,                0.89722,                 1.1718,                0.69856,                0.79738,                0.80135,                0.40775,                 1.7152,                 0.9511,                 1.2154,               0.002344,               0.002344,               0.002344
                    118,                 1.6771,                0.87682,                 1.1594,                0.68792,                0.76534,                0.78058,                0.38869,                  1.753,                0.98358,                  1.233,               0.002278,               0.002278,               0.002278
                    119,                 1.6805,                0.89513,                 1.1721,                 0.7135,                0.78014,                0.81011,                0.40271,                 1.7391,                0.96164,                 1.2285,               0.002212,               0.002212,               0.002212
                    120,                 1.6795,                0.88812,                  1.168,                0.71665,                0.79445,                0.80828,                0.39879,                 1.7354,                0.96435,                 1.2262,               0.002146,               0.002146,               0.002146
                    121,                 1.6593,                0.88364,                 1.1731,                0.72163,                0.81596,                0.80969,                0.39372,                 1.7588,                0.95866,                 1.2383,                0.00208,                0.00208,                0.00208
                    122,                 1.6612,                0.89089,                 1.1584,                0.71396,                0.81161,                0.80698,                0.40044,                 1.7445,                0.94312,                 1.2247,               0.002014,               0.002014,               0.002014
                    123,                 1.6735,                0.86635,                 1.1685,                0.69347,                0.79151,                0.80557,                0.40369,                 1.7228,                0.95987,                 1.2151,               0.001948,               0.001948,               0.001948
                    124,                 1.6599,                0.88499,                 1.1469,                0.70638,                0.79843,                0.79917,                0.38934,                 1.7433,                0.95804,                  1.224,               0.001882,               0.001882,               0.001882
                    125,                 1.6709,                0.88079,                 1.1671,                0.67469,                 0.8327,                0.80391,                0.40195,                 1.7308,                0.93068,                  1.218,               0.001816,               0.001816,               0.001816
